observation_date,GDP
01/07/2000,0.687421202
01/10/2000,1.139534016
01/01/2001,0.330469969
01/04/2001,1.229858252
01/07/2001,-0.009246155
01/10/2001,0.589213834
01/01/2002,1.15412414
01/04/2002,0.96406547
01/07/2002,0.88707559
01/10/2002,0.704595031
01/01/2003,1.018819171
01/04/2003,1.240696255
01/07/2003,2.244393635
01/10/2003,1.777218662
01/01/2004,1.284488569
01/04/2004,1.588198446
01/07/2004,1.58915991
01/10/2004,1.803343874
01/01/2005,1.916403759
01/04/2005,1.216938353
01/07/2005,1.702328066
01/10/2005,1.381472614
01/01/2006,2.063582935
01/04/2006,1.134364181
01/07/2006,0.848981315
01/10/2006,1.221122598
01/01/2007,1.254248709
01/04/2007,1.311448909
01/07/2007,1.125080388
01/10/2007,1.036389642
01/01/2008,-0.057899874
01/04/2008,1.082260149
01/07/2008,0.223992128
01/10/2008,-1.951741859
01/01/2009,-1.213749064
01/04/2009,-0.344164211
01/07/2009,0.470376816
01/10/2009,1.40057203
01/01/2010,0.773729257
01/04/2010,1.460133387
01/07/2010,1.077516158
01/10/2010,1.108647187
01/01/2011,0.274170099
01/04/2011,1.342485738
01/07/2011,0.579403979
01/10/2011,1.243500634
01/01/2012,1.430010707
01/04/2012,0.860736066
01/07/2012,0.69368299
01/10/2012,0.618142385
01/01/2013,1.387114421
01/04/2013,0.483524064
01/07/2013,1.345897619
01/10/2013,1.404879532
01/01/2014,0.033265436
01/04/2014,1.865187154
01/07/2014,1.63096081
01/10/2014,0.605760609
01/01/2015,0.845518826
01/04/2015,1.197191313
01/07/2015,0.666539605
01/10/2015,0.182108907
01/01/2016,0.492516004
01/04/2016,1.002751117
01/07/2016,0.966972433
01/10/2016,1.04135796
01/01/2017,0.999011021
01/04/2017,0.822397869
01/07/2017,1.306428643
01/10/2017,1.749352993
01/01/2018,1.454627539
01/04/2018,1.241401688
01/07/2018,1.058349601
01/10/2018,0.572809013
01/01/2019,0.926160397
01/04/2019,1.356306486
01/07/2019,1.491886742
01/10/2019,0.994816498
01/01/2020,-0.937208618
01/04/2020,-8.248533194
01/07/2020,8.77385525
01/10/2020,1.771842082
01/01/2021,2.664516781
01/04/2021,3.142845503
01/07/2021,2.366953186
01/10/2021,3.574313693
01/01/2022,1.769594089
01/04/2022,2.34102124
01/07/2022,1.806648748
01/10/2022,1.759537936
01/01/2023,1.608728749
01/04/2023,1.065572723
01/07/2023,1.87180543
01/10/2023,1.177322537
01/01/2024,1.155961344
01/04/2024,1.371730204
01/07/2024,1.234460939
01/10/2024,1.108653459
