Date,GSCPI,,
,,,NEW YORK FED  ECONOMIC RESEARCH
,,,
,,,https://www.newyorkfed.org/research
,,,
01/12/2016,-0.22,,
01/01/2017,0.17,,
01/02/2017,0.15,,
01/03/2017,0.08,,
01/04/2017,0.01,,
01/05/2017,-0.14,,
01/06/2017,0.09,,
01/07/2017,0.09,,
01/08/2017,0.39,,
01/09/2017,0.55,,
01/10/2017,0.78,,
01/11/2017,0.81,,
01/12/2017,0.69,,
01/01/2018,0.58,,
01/02/2018,0.06,,
01/03/2018,0.43,,
01/04/2018,0.51,,
01/05/2018,0.37,,
01/06/2018,0.43,,
01/07/2018,0.44,,
01/08/2018,0.53,,
01/09/2018,0.46,,
01/10/2018,0.53,,
01/11/2018,0.45,,
01/12/2018,0.46,,
01/01/2019,0.52,,
01/02/2019,0.15,,
01/03/2019,0.21,,
01/04/2019,0.02,,
01/05/2019,-0.61,,
01/06/2019,-0.46,,
01/07/2019,-0.44,,
01/08/2019,-0.28,,
01/09/2019,0.15,,
01/10/2019,0.1,,
01/11/2019,0.16,,
01/12/2019,0.05,,
01/01/2020,0.07,,
01/02/2020,1.28,,
01/03/2020,2.63,,
01/04/2020,3.32,,
01/05/2020,2.51,,
01/06/2020,2.24,,
01/07/2020,2.97,,
01/08/2020,1.49,,
01/09/2020,0.63,,
01/10/2020,0.11,,
01/11/2020,0.76,,
01/12/2020,1.69,,
01/01/2021,1.33,,
01/02/2021,1.95,,
01/03/2021,2.27,,
01/04/2021,2.77,,
01/05/2021,3.05,,
01/06/2021,2.78,,
01/07/2021,2.95,,
01/08/2021,3.31,,
01/09/2021,3.38,,
01/10/2021,3.92,,
01/11/2021,4.33,,
01/12/2021,4.41,,
01/01/2022,3.71,,
01/02/2022,2.81,,
01/03/2022,2.86,,
01/04/2022,3.55,,
01/05/2022,2.76,,
01/06/2022,2.43,,
01/07/2022,1.84,,
01/08/2022,1.52,,
01/09/2022,1.03,,
01/10/2022,1.14,,
01/11/2022,1.27,,
01/12/2022,1.34,,
01/01/2023,1.08,,
01/02/2023,-0.21,,
01/03/2023,-1.14,,
01/04/2023,-1.28,,
01/05/2023,-1.56,,
01/06/2023,-1.09,,
01/07/2023,-0.92,,
01/08/2023,-1.06,,
01/09/2023,-0.65,,
01/10/2023,-0.35,,
01/11/2023,0.17,,
01/12/2023,-0.15,,
01/01/2024,-0.34,,
01/02/2024,-0.18,,
01/03/2024,-0.34,,
01/04/2024,-0.94,,
01/05/2024,-0.57,,
01/06/2024,-0.34,,
01/07/2024,-0.04,,
01/08/2024,0.21,,
01/09/2024,0.11,,
01/10/2024,-0.34,,
01/11/2024,-0.27,,
01/12/2024,-0.24,,
01/01/2025,-0.31,,
