"Date","Clus_mon_1","Clus_mon_2","Clus_mon_3"
"1998-01-01",1.83583070618054,1.66164175094762,1.37078923612247
"1998-02-01",1.83583070618054,1.66164175094762,1.37078923612247
"1998-03-01",1.83583070618054,1.66164175094762,1.37078923612247
"1998-04-01",1.83583070618054,1.66164175094762,1.2711300601447
"1998-05-01",1.83583070618054,1.66164175094762,1.2711300601447
"1998-06-01",1.83583070618054,1.66164175094762,1.2711300601447
"1998-07-01",1.83583070618054,1.7145925026094,1.2711300601447
"1998-08-01",1.83583070618054,2.00263976407325,1.2711300601447
"1998-09-01",0.585706391757473,1.93062794870728,1.2711300601447
"1998-10-01",0.585706391757473,1.85861613334132,1.07181170818916
"1998-11-01",0.585706391757473,1.73365356631358,1.07181170818916
"1998-12-01",0.585706391757473,1.62775206299002,0.746666443905879
"1999-01-01",0.585706391757473,1.52185055966646,0.746666443905879
"1999-02-01",0.585706391757473,1.46889980800468,0.746666443905879
"1999-03-01",1.83583070618054,1.29098648931516,0.746666443905879
"1999-04-01",1.83583070618054,1.29098648931516,0.437295747381883
"1999-05-01",1.83583070618054,1.16602392228742,0.437295747381883
"1999-06-01",1.83583070618054,1.16602392228742,0.437295747381883
"1999-07-01",1.83583070618054,1.11307317062563,0.437295747381883
"1999-08-01",1.83583070618054,1.11307317062563,0.437295747381883
"1999-09-01",1.83583070618054,1.11307317062563,0.437295747381883
"1999-10-01",1.83583070618054,1.16602392228742,0.437295747381883
"1999-11-01",1.83583070618054,1.23803573765338,0.746666443905879
"1999-12-01",1.83583070618054,1.29098648931516,0.746666443905879
"2000-01-01",1.83583070618054,1.29098648931516,0.746666443905879
"2000-02-01",1.83583070618054,1.4159490563429,0.901351792167877
"2000-03-01",1.83583070618054,1.54091162337064,1.05603714042988
"2000-04-01",1.83583070618054,1.54091162337064,1.21072248869187
"2000-05-01",1.83583070618054,1.68493525410256,1.21072248869187
"2000-06-01",1.83583070618054,1.68493525410256,1.52009318521587
"2000-07-01",1.83583070618054,1.68493525410256,1.52009318521587
"2000-08-01",0.585706391757473,1.68493525410256,1.52009318521587
"2000-09-01",0.585706391757473,1.68493525410256,1.67477853347787
"2000-10-01",0.585706391757473,1.68493525410256,1.82946388173987
"2000-11-01",0.585706391757473,1.68493525410256,1.82946388173987
"2000-12-01",0.585706391757473,1.68493525410256,1.82946388173987
"2001-01-01",0.585706391757473,1.6129234387366,1.82946388173987
"2001-02-01",0.0856566659882471,1.6129234387366,1.82946388173987
"2001-03-01",0.0856566659882471,1.4159490563429,1.82946388173987
"2001-04-01",0.585706391757473,1.34393724097694,1.82946388173987
"2001-05-01",0.585706391757473,1.2189746739492,1.67477853347787
"2001-06-01",0.585706391757473,1.16602392228742,1.67477853347787
"2001-07-01",0.585706391757473,1.09401210692145,1.67477853347787
"2001-08-01",0.585706391757473,1.02200029155549,1.52009318521587
"2001-09-01",-0.164368196896366,0.82502590916179,1.21072248869187
"2001-10-01",-0.164368196896366,0.556039711402126,1.21072248869187
"2001-11-01",-0.164368196896366,0.359065329008423,0.901351792167877
"2001-12-01",-0.164368196896366,0.253163825684862,0.901351792167877
"2002-01-01",-0.164368196896366,0.181152010318901,0.901351792167877
"2002-02-01",-0.164368196896366,0.181152010318901,0.901351792167877
"2002-03-01",-0.164368196896366,0.181152010318901,0.901351792167877
"2002-04-01",-0.164368196896366,0.253163825684862,0.901351792167877
"2002-05-01",-0.164368196896366,0.253163825684862,0.901351792167877
"2002-06-01",-0.164368196896366,0.325175641050823,0.901351792167877
"2002-07-01",-0.164368196896366,0.397187456416784,0.901351792167877
"2002-08-01",-0.164368196896366,0.397187456416784,0.901351792167877
"2002-09-01",-0.164368196896366,0.397187456416784,0.901351792167877
"2002-10-01",-0.164368196896366,0.397187456416784,0.901351792167877
"2002-11-01",-0.164368196896366,0.397187456416784,0.901351792167877
"2002-12-01",-0.164368196896366,0.397187456416784,0.591981095643881
"2003-01-01",-0.164368196896366,0.397187456416784,0.591981095643881
"2003-02-01",-0.164368196896366,0.397187456416784,0.591981095643881
"2003-03-01",-0.164368196896366,0.416248520120965,0.437295747381883
"2003-04-01",-0.164368196896366,0.488260335486927,0.437295747381883
"2003-05-01",-0.164368196896366,0.488260335486927,0.437295747381883
"2003-06-01",-0.164368196896366,0.488260335486927,0.127925050857887
"2003-07-01",-0.164368196896366,0.416248520120965,0.127925050857887
"2003-08-01",-0.164368196896366,0.363297768459185,0.127925050857887
"2003-09-01",-0.164368196896366,0.291285953093224,0.127925050857887
"2003-10-01",-0.164368196896366,0.291285953093224,0.127925050857887
"2003-11-01",-0.164368196896366,0.291285953093224,0.127925050857887
"2003-12-01",-0.164368196896366,0.344236704755004,0.127925050857887
"2004-01-01",-0.164368196896366,0.272224889389043,0.127925050857887
"2004-02-01",-0.164368196896366,0.272224889389043,0.127925050857887
"2004-03-01",-0.164368196896366,0.253163825684862,0.127925050857887
"2004-04-01",-0.164368196896366,0.181152010318901,0.127925050857887
"2004-05-01",-0.164368196896366,0.181152010318901,0.127925050857887
"2004-06-01",-0.164368196896366,0.234102761980681,0.127925050857887
"2004-07-01",-0.164368196896366,0.287053513642461,0.127925050857887
"2004-08-01",-0.164368196896366,0.287053513642461,0.127925050857887
"2004-09-01",-0.164368196896366,0.412016080670203,0.127925050857887
"2004-10-01",-0.164368196896366,0.484027896036164,0.127925050857887
"2004-11-01",-0.164368196896366,0.484027896036164,0.127925050857887
"2004-12-01",-0.164368196896366,0.484027896036164,0.127925050857887
"2005-01-01",-0.164368196896366,0.484027896036164,0.127925050857887
