"Date","Clus_inf_1","Clus_inf_2"
"1998-01-01",-0.296918454419981,0.00385283290791245
"1998-02-01",-0.318408710029799,0.00264534149147243
"1998-03-01",-0.36444729623497,-0.0174549423556246
"1998-04-01",-0.357011430572163,0.0234377557857099
"1998-05-01",-0.312013678366492,0.109382488612917
"1998-06-01",-0.332425189270577,0.0716545426072747
"1998-07-01",-0.358682734847334,0.0547502650225921
"1998-08-01",-0.312206686601255,0.0714363561263369
"1998-09-01",-0.326910248592516,0.0925640165457778
"1998-10-01",-0.391095535875572,0.204026623398479
"1998-11-01",-0.387246762264513,0.244261361906948
"1998-12-01",-0.373123886738507,0.296018347865676
"1999-01-01",-0.405466393311499,0.427153900335679
"1999-02-01",-0.440845505540808,0.480051632653161
"1999-03-01",-0.457889287333582,0.388050123061673
"1999-04-01",-0.408481345011776,0.266154251562052
"1999-05-01",-0.353989871327865,0.187180174704259
"1999-06-01",-0.318603769697323,0.114279316653437
"1999-07-01",-0.267287473644107,0.0873130778209054
"1999-08-01",-0.265358580303827,0.0865448165710836
"1999-09-01",-0.211902400280862,0.0732425577111154
"1999-10-01",-0.122994038189128,0.102677375254682
"1999-11-01",-0.083157604962382,0.124655781755321
"1999-12-01",-0.0202556508682699,0.032947084817202
"2000-01-01",0.0609536707126546,0.0297249396361398
"2000-02-01",0.178339296334286,0.116392930447624
"2000-03-01",0.351773082418158,0.15322666181753
"2000-04-01",0.36054577845858,0.165166596669744
"2000-05-01",0.276012258251819,0.14597499509926
"2000-06-01",0.324016388950973,0.191199673565059
"2000-07-01",0.381039014528771,0.354061533581973
"2000-08-01",0.37301342090235,0.455304652814359
"2000-09-01",0.376429084684444,0.389883286657545
"2000-10-01",0.393027196045858,0.32580821727189
"2000-11-01",0.413243013163876,0.378690768901148
"2000-12-01",0.429366312667627,0.423898510212676
"2001-01-01",0.437944701278812,0.334649970749948
"2001-02-01",0.40901261022457,0.312102297911813
"2001-03-01",0.265285039326386,0.428383988167207
"2001-04-01",0.192927523554494,0.54294863629421
"2001-05-01",0.227734252841219,0.592648400030222
"2001-06-01",0.220920696435232,0.655127288095614
"2001-07-01",0.156646557890799,0.645021289183294
"2001-08-01",0.0879037628109234,0.617101642202691
"2001-09-01",-0.0404311341700775,0.457228030174989
"2001-10-01",-0.176637059844488,0.507524017533475
"2001-11-01",-0.26090961888234,0.755546508292389
"2001-12-01",-0.364486327239962,0.715677418908315
"2002-01-01",-0.45826255015038,0.633399531080669
"2002-02-01",-0.494259095785418,0.614061096996334
"2002-03-01",-0.453229061684452,0.58497719149165
"2002-04-01",-0.405560684952885,0.50252953886463
"2002-05-01",-0.413450802721548,0.515325511931769
"2002-06-01",-0.461799667853078,0.546570595302738
"2002-07-01",-0.461800310172839,0.592721513455161
"2002-08-01",-0.412606705927911,0.696550430220549
"2002-09-01",-0.349139493370622,1.03884510323949
"2002-10-01",-0.299986040388234,1.00678629493421
"2002-11-01",-0.274603210520563,0.710478125301222
"2002-12-01",-0.245543712768265,0.809307427000367
"2003-01-01",-0.218542827351154,0.939466578034933
"2003-02-01",-0.2069674770811,0.943492835579323
"2003-03-01",-0.238170953425344,0.939296260194146
"2003-04-01",-0.364168710961957,0.989799285194947
"2003-05-01",-0.463609903466378,1.03135615669479
"2003-06-01",-0.476792064152358,0.996382828322564
"2003-07-01",-0.479368107052045,0.88340147815355
"2003-08-01",-0.459787618488467,0.861881199190724
"2003-09-01",-0.423852390059962,0.841572699002839
"2003-10-01",-0.391237096530714,0.891899882567742
"2003-11-01",-0.370124273071841,0.918044125877921
"2003-12-01",-0.314063878629574,0.855674135568758
"2004-01-01",-0.259236175786285,0.907068017836588
"2004-02-01",-0.252945170693633,0.965904119604876
"2004-03-01",-0.213542024547149,0.982944313298162
"2004-04-01",-0.060072363447221,0.996216383897677
"2004-05-01",0.0812012029826748,0.910211514046287
"2004-06-01",0.120401843044102,0.870354120956792
"2004-07-01",0.0796645031565368,0.858899866630638
"2004-08-01",-0.0192257232255226,0.740653085443196
"2004-09-01",-0.0678978219659187,0.733977290938818
"2004-10-01",-0.0259641232782434,0.711050429471802
"2004-11-01",0.0648252871818495,0.676844455054093
"2004-12-01",0.107051798669784,0.705690081744757
"2005-01-01",0.111175606063637,0.632109718883174
"2005-02-01",0.134329202870268,0.580164267835583
"2005-03-01",0.152932439847768,0.546250382274847
"2005-04-01",0.124990926502958,0.488494895627823
"2005-05-01",0.0849231295117626,0.500077136081636
"2005-06-01",0.0548285634492681,0.543593112789131
"2005-07-01",0.0905220188406454,0.5567059879468
"2005-08-01",0.213843085833015,0.51931711073669
"2005-09-01",0.357147996674603,0.506656932777654
"2005-10-01",0.443499932007796,0.569137311714575
"2005-11-01",0.39446325544078,0.615953573352487
"2005-12-01",0.326929912230235,0.582355556883337
"2006-01-01",0.306931221905617,0.521202363735443
"2006-02-01",0.279673774261874,0.491634396606742
"2006-03-01",0.24399162616976,0.499577243365016
"2006-04-01",0.268802509483248,0.517543282473027
"2006-05-01",0.334946205860493,0.517123327855155
"2006-06-01",0.412852004971152,0.518136008414809
"2006-07-01",0.444867959760394,0.552990095313693
"2006-08-01",0.430145862200567,0.638123180052375
"2006-09-01",0.319759959965766,0.606334025391048
"2006-10-01",0.128535370575344,0.505035073532019
"2006-11-01",0.0450104119795586,0.417809854929563
"2006-12-01",0.0546265735271374,0.371800135506947
"2007-01-01",0.0960630099888662,0.492396420473931
"2007-02-01",0.165646281350584,0.585698092201828
"2007-03-01",0.193154376113341,0.576670942013848
"2007-04-01",0.124417627601752,0.54119161285999
